collision_id,crash_date_crash,crash_time_crash,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,vehicle_type_code1
4514367,2022-03-25,8:45,BROOKLYN,11230.0,40.624622,-73.97598,2,0,UNSPECIFIED,SEDAN
4513681,2022-03-26,10:10,BROOKLYN,11217.0,40.67271,-73.97089,0,0,PASSING OR LANE USAGE IMPROPER,STATION WAGON/SPORT UTILITY VEHICLE
4514212,2022-03-26,11:45,UNKNOWN,,40.7314,-73.926094,1,0,REACTION TO UNINVOLVED VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE
4514420,2022-03-25,14:35,UNKNOWN,,40.632786,-74.13712,1,0,FAILURE TO YIELD RIGHT-OF-WAY,SEDAN
4513923,2022-03-26,14:30,STATEN ISLAND,10305.0,40.596733,-74.07045,0,0,BACKING UNSAFELY,SEDAN
4513752,2022-03-26,19:00,BROOKLYN,11234.0,40.617645,-73.92092,0,0,BACKING UNSAFELY,SEDAN
4513924,2022-03-26,2:05,UNKNOWN,,,,0,0,DRIVER INATTENTION/DISTRACTION,TAXI
4513860,2022-03-26,16:40,BROOKLYN,11217.0,40.68651,-73.98378,2,0,PASSING OR LANE USAGE IMPROPER,STATION WAGON/SPORT UTILITY VEHICLE
4514251,2022-03-24,18:05,BROOKLYN,11206.0,40.69831,-73.9498,0,0,DRIVER INATTENTION/DISTRACTION,SEDAN
4513478,2022-03-26,3:35,UNKNOWN,,40.692455,-73.76814,1,0,REACTION TO UNINVOLVED VEHICLE,SEDAN
4514302,2022-03-20,10:34,MANHATTAN,10024.0,40.778805,-73.974075,1,0,BACKING UNSAFELY,SEDAN
4513708,2022-03-26,14:54,MANHATTAN,10001.0,40.747894,-73.989174,0,0,PASSING OR LANE USAGE IMPROPER,SEDAN
4514189,2022-03-25,6:35,BRONX,10472.0,40.83578,-73.871445,0,0,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
